,SampleName,replicate,dilution,wwtp,sample_date,filt_protocol,file_name,run_date,ChamberID,target,sample_type,pcr_mix,volume_mL,PCR_ID,spiked,TotalDroplets,SARS-N1_PositiveDroplets,SARS-N1_PosCtrl-PosDrops,SARS-N1_NTCtrl-PosDrops,SARS-N1_(gc/rxn),SARS-N1_(gc/eluate),SARS-N1_(gc/mLWW),SARS-N1_spiked-(gc/rxn),SARS-N1_spNTC-(gc/rxn),SARS-N1_InhibitionQuant,MHV_PositiveDroplets,MHV_PosCtrl-PosDrops,MHV_NTCtrl-PosDrops,MHV_(gc/rxn),MHV_(gc/eluate),MHV_(gc/mLWW),MHV_spiked-(gc/rxn),MHV_spNTC-(gc/rxn),MHV_InhibitionQuant,MHV_SpikeIn(gc),MHV_PercRecovery
48,05_2023-02-14,A,3,CDA Lugano,2023-02-14,v4.2,20230216_N1MHV_02130214_17.xlsx,2023-02-16,S-0664391-1-C1,n1mhv,ww,qscript_xlt,40.0,Z,False,25729,136.0,3443.0,0.0,255.293054226644,12254.06660287891,306.3516650719729,620.5947180874589,379.7961029531514,0.98,867.0,1709.0,0.0,1651.167005341468,79256.01625639045,1981.400406409761,1814.130762828055,190.6639976359829,0.98,322667.9641917894,24.56271618253424
49,05_2023-02-14,A,3,CDA Lugano,2023-02-14,v4.2,20230216_N1MHV_02130214_17.xlsx,2023-02-16,S-0664391-1-D1,n1mhv,ww,qscript_xlt,40.0,Z,False,25862,113.0,3443.0,0.0,210.9305621130655,10124.66698142714,253.1166745356786,620.5947180874589,379.7961029531514,1.05,850.0,1709.0,0.0,1609.778428160324,77269.36455169556,1931.734113792389,1814.130762828055,190.6639976359829,1.01,322667.9641917894,23.94702081603853
50,10_2023-02-14,A,3,ARA Werdhölzli,2023-02-14,v4.2,20230216_N1MHV_02130214_17.xlsx,2023-02-16,S-0664389-8-C2,n1mhv,ww,qscript_xlt,40.0,Z,False,24639,264.0,3443.0,0.0,518.9083112839164,24907.59894162799,622.6899735406997,877.5717631932073,379.7961029531514,0.98,812.0,1709.0,0.0,1614.21782146691,77482.45543041166,1937.061385760292,1783.459477473392,190.6639976359829,0.99,322667.9641917894,24.01306111205919
51,10_2023-02-14,A,3,ARA Werdhölzli,2023-02-14,v4.2,20230216_N1MHV_02130214_17.xlsx,2023-02-16,S-0664389-8-D2,n1mhv,ww,qscript_xlt,40.0,Z,False,25486,242.0,3443.0,0.0,459.5750514496273,22059.60246958211,551.4900617395527,877.5717631932073,379.7961029531514,1.05,839.0,1709.0,0.0,1612.432204328452,77396.7458077657,1934.918645194143,1783.459477473392,190.6639976359829,0.99,322667.9641917894,23.98649831929461
52,16_2023-02-14,A,5,STEP Aire,2023-02-14,v4.2,20230216_N1MHV_02130214_17.xlsx,2023-02-16,S-0664371-3-A4,n1mhv,ww,qscript_xlt,40.0,U,False,26446,76.0,3866.0,0.0,138.6280235759056,11090.24188607245,277.2560471518112,519.5744839352967,379.7961029531514,1.0,542.0,2042.0,0.0,997.4721194292792,79797.76955434235,1994.944238858559,1241.770273248467,190.6639976359829,1.05,322667.9641917894,24.73061425673844
53,16_2023-02-14,A,5,STEP Aire,2023-02-14,v4.2,20230216_N1MHV_02130214_17.xlsx,2023-02-16,S-0664371-3-B4,n1mhv,ww,qscript_xlt,40.0,U,False,24921,66.0,3866.0,0.0,127.7399796921138,10219.19837536911,255.4799593842277,519.5744839352967,379.7961029531514,1.02,577.0,2042.0,0.0,1128.39156697371,90271.32535789683,2256.783133947421,1241.770273248467,190.6639976359829,0.94,322667.9641917894,27.97653792002753
54,17_2023-02-14,A,5,ARA Chur,2023-02-14,v4.2,20230216_N1MHV_02130214_17.xlsx,2023-02-16,S-0664428-4-A5,n1mhv,ww,qscript_xlt,40.0,U,False,26278,74.0,3866.0,0.0,135.8389378612937,10867.1150289035,271.6778757225875,490.7272643253443,379.7961029531514,0.95,392.0,2042.0,0.0,723.9790558470113,57918.3244677609,1447.958111694023,905.7106846312845,190.6639976359829,0.99,322667.9641917894,17.94982176579979
55,17_2023-02-14,A,5,ARA Chur,2023-02-14,v4.2,20230216_N1MHV_02130214_17.xlsx,2023-02-16,S-0664428-4-B5,n1mhv,ww,qscript_xlt,40.0,U,False,25013,114.0,3866.0,0.0,220.0408330163962,17603.2666413117,440.0816660327924,490.7272643253443,379.7961029531514,0.82,464.0,2042.0,0.0,901.9542149179886,72156.33719343909,1803.908429835977,905.7106846312845,190.6639976359829,0.83,322667.9641917894,22.36241127134343
56,19_2023-02-14,A,3,ARA Altenrhein,2023-02-14,v4.2,20230216_N1MHV_02130214_17.xlsx,2023-02-16,S-0663266-3-A6,n1mhv,ww,qscript_xlt,40.0,U,False,25982,321.0,3866.0,0.0,598.8276003885421,28743.72481865002,718.5931204662505,1043.55612992919,379.7961029531514,1.07,813.0,2042.0,0.0,1531.354145119226,73504.99896572286,1837.624974143072,2062.170144919342,190.6639976359829,1.2,322667.9641917894,22.78038328032854
57,19_2023-02-14,A,3,ARA Altenrhein,2023-02-14,v4.2,20230216_N1MHV_02130214_17.xlsx,2023-02-16,S-0663266-3-B6,n1mhv,ww,qscript_xlt,40.0,U,False,24508,339.0,3866.0,0.0,670.9429001718935,32205.25920825089,805.1314802062722,1043.55612992919,379.7961029531514,0.99,918.0,2042.0,0.0,1838.954790164953,88269.82992791777,2206.745748197945,2062.170144919342,190.6639976359829,1.02,322667.9641917894,27.35624224394691
